propension_12m,sexo,edad,d2_01,d2_03,d2_04,d2_05,d2_06,d2_07
1,2,22,5,5,1,7.0,1.0,2.0
0,1,27,5,2,2,5.0,1.0,1.0
0,1,26,5,6,1,4.0,1.0,1.0
0,2,27,9,2,3,4.0,1.0,2.0
1,1,24,9,6,0,7.0,1.0,1.0
1,1,43,9,6,1,5.0,1.0,1.0
1,1,24,9,6,0,4.0,1.0,1.0
1,1,58,9,5,1,3.0,1.0,1.0
1,1,30,9,6,0,5.0,1.0,1.0
0,1,23,9,6,0,4.0,1.0,1.0
0,1,26,9,2,1,5.0,1.0,1.0
1,1,36,9,6,0,3.0,1.0,1.0
0,1,25,9,2,2,6.0,1.0,1.0
1,2,45,9,5,0,7.0,1.0,2.0
1,1,48,9,3,2,5.0,1.0,1.0
0,1,18,9,6,0,4.0,1.0,1.0
1,1,31,9,2,2,6.0,1.0,1.0
0,1,30,5,6,0,6.0,1.0,1.0
0,1,22,5,6,0,6.0,1.0,1.0
1,2,22,9,5,0,6.0,2.0,2.0
