directorio,secuencia_encuesta,secuencia_p,orden,propension_12m,consumo_12m,consumo_12m_missing_original,precio_compra,log_precio_compra,cantidad_consumo,gasto_valor,sexo,sexo_label,edad,edad_cuadrado,d2_05,educacion_label,educacion_grupo,n_hijos,familiares_consumen,amigos_consumen,probaria_sustancias,cannabis_medicinal,actividad_laboral,regimen_salud,sintomas_depresivos,anhedonia,riesgo_marihuana_ocasional,riesgo_marihuana_frecuente,frecuencia_consumo,facil_marihuana,consumo_vida,consumo_30d,consumo_reciente,edad_inicio,tipo_sustancia,lugar_consumo,forma_conseguir,gasto_total,gasto_descripcion,riesgo_marihuana,riesgo_cocaina,riesgo_basuco,riesgo_extasis,riesgo_heroina,riesgo_lsd,riesgo_inhalantes,riesgo_anfetaminas,riesgo_tranquilizantes,facilidad_conseguir,facil_cocaina,facil_basuco,actitud_marihuana,actitud_cocaina,actitud_basuco,actitud_extasis,actitud_heroina,actitud_lsd,actitud_inhalantes,actitud_anfetaminas,actitud_tranquilizantes,actitud_drogas_general,actitud_legalizacion,actitud_regulacion,actitud_prevencion,actitud_sanciones,actitud_tratamiento,d2_01,d2_03,d2_04,d2_06,d2_07,g_01,g_02,g_04,g_09,d_02,d_07,d_09,d_10,d_11_f,d_11_g
37108,5,1,5,0,,1,,,,,2,Mujer,52,2704,3,Basica primaria,Baja,4,1.0,1.0,0.0,0.0,Oficios del hogar,Contributivo,0.0,1.0,4.0,4.0,2,,1.0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,4,1.0,2.0,1,1,2,2,4,1.0,2,1,4,4
37146,4,1,4,1,1.0,0,,,,,2,Mujer,19,361,6,Tecnica/tecnologica,Superior,0,0.0,1.0,0.0,0.0,Estudiando,Subsidiado,0.0,0.0,1.0,4.0,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6,0,1.0,2.0,2,1,2,2,3,3.0,2,2,1,4
37161,1,1,1,0,,1,,,,,1,Hombre,59,3481,2,Preescolar,Baja,3,1.0,0.0,1.0,0.0,Trabajando,Subsidiado,0.0,0.0,4.0,4.0,2,,1.0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2,3,1.0,1.0,1,2,1,2,1,3.0,2,2,4,4
37171,3,1,3,1,1.0,0,,,,,1,Hombre,30,900,6,Tecnica/tecnologica,Superior,1,0.0,1.0,0.0,0.0,Trabajando,Contributivo,0.0,0.0,3.0,2.0,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2,1,1.0,1.0,2,1,2,2,1,1.0,2,2,3,2
37177,2,1,2,1,1.0,0,,,,,2,Mujer,28,784,6,Tecnica/tecnologica,Superior,1,1.0,1.0,1.0,0.0,Trabajando,Contributivo,0.0,0.0,4.0,4.0,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2,1,1.0,2.0,1,1,1,2,1,1.0,2,2,4,4
37182,1,1,1,0,,1,,,,,1,Hombre,38,1444,6,Tecnica/tecnologica,Superior,3,1.0,1.0,1.0,0.0,Trabajando,Contributivo,0.0,0.0,3.0,3.0,2,,1.0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2,3,1.0,1.0,1,1,1,2,1,1.0,2,2,3,3
37200,1,1,1,0,,1,,,,,2,Mujer,43,1849,8,Postgrado,Superior,0,0.0,1.0,0.0,1.0,Trabajando,Contributivo,0.0,0.0,4.0,4.0,2,,1.0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6,0,1.0,2.0,2,1,2,1,1,1.0,2,2,4,4
37201,1,1,1,1,1.0,0,60000.0,11.002099841204238,60.0,2000.0,1,Hombre,28,784,6,Tecnica/tecnologica,Superior,0,1.0,1.0,1.0,0.0,Trabajando,Contributivo,0.0,0.0,4.0,4.0,1,,,,,3,5.0,1.0,30.0,1.0,DOS MIL PESOS,,,,1.0,,,,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9,6,0,1.0,1.0,1,1,1,2,1,1.0,2,2,4,4
37212,1,1,1,0,,1,,,,,1,Hombre,44,1936,6,Tecnica/tecnologica,Superior,2,1.0,1.0,0.0,1.0,Trabajando,Contributivo,1.0,1.0,3.0,3.0,2,,1.0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3,2,1.0,1.0,1,1,2,1,1,1.0,1,1,3,3
37217,2,1,2,0,,1,,,,,2,Mujer,38,1444,5,Media,Media,2,0.0,1.0,0.0,0.0,Oficios del hogar,Contributivo,0.0,0.0,4.0,4.0,2,,1.0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2,2,1.0,2.0,2,1,2,2,4,1.0,2,2,4,4
37239,3,1,3,0,,1,,,,,2,Mujer,36,1296,4,Basica secundaria,Media,3,1.0,1.0,1.0,0.0,Oficios del hogar,Subsidiado,1.0,0.0,4.0,4.0,2,,1.0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6,3,1.0,2.0,1,1,1,2,4,3.0,1,2,4,4
37243,2,1,2,0,,1,,,,,2,Mujer,17,289,4,Basica secundaria,Media,0,1.0,1.0,0.0,0.0,Oficios del hogar,Subsidiado,1.0,1.0,2.0,2.0,2,,1.0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6,0,,,1,1,2,2,4,3.0,1,1,2,2
