d2_01,d2_03,d2_04,d2_05,d2_05_a,d2_06,d2_07,directorio,secuencia_encuesta,secuencia_p,orden
1,2,3,4,407,1.0,1.0,415,1,1,1
5,2,1,6,606,1.0,2.0,416,2,1,2
9,6,1,3,305,1.0,2.0,417,1,1,1
9,2,3,5,511,1.0,1.0,418,1,1,1
9,3,2,6,602,1.0,2.0,419,2,1,2
5,6,0,5,511,1.0,1.0,420,3,1,3
9,5,2,6,602,1.0,2.0,421,1,1,1
9,5,3,5,511,1.0,2.0,422,2,1,2
9,2,1,5,511,1.0,2.0,423,2,1,2
9,2,1,6,604,1.0,1.0,424,3,1,3
9,5,1,7,705,1.0,2.0,425,1,1,1
9,1,0,5,510,1.0,2.0,426,2,1,2
9,2,1,6,602,1.0,1.0,427,1,1,1
9,5,1,3,305,1.0,1.0,429,3,1,3
9,1,0,5,511,1.0,1.0,430,3,1,3
9,6,0,5,512,1.0,2.0,431,2,1,2
9,5,2,6,602,1.0,2.0,432,3,1,3
5,3,2,6,602,1.0,2.0,433,1,1,1
5,3,3,6,603,1.0,2.0,434,2,1,2
1,3,3,4,409,1.0,1.0,435,1,1,1
5,2,1,5,512,1.0,1.0,436,1,1,1
9,6,0,4,407,,,437,3,1,3
5,5,1,6,606,1.0,2.0,438,2,1,2
5,3,2,5,511,1.0,2.0,439,2,1,2
9,6,0,6,601,,,440,3,1,3
9,5,1,6,602,1.0,2.0,441,1,1,1
9,5,3,5,511,1.0,2.0,442,1,1,1
9,3,2,7,705,1.0,2.0,443,2,1,2
9,3,2,7,705,1.0,1.0,444,1,1,1
1,5,3,8,802,1.0,1.0,445,1,1,1
9,5,3,8,802,1.0,2.0,446,1,1,1
9,1,2,5,511,1.0,1.0,448,3,1,3
9,3,2,6,603,1.0,1.0,449,1,1,1
9,6,0,8,803,1.0,2.0,450,1,1,1
5,2,2,5,511,1.0,1.0,451,1,1,1
9,5,2,5,511,1.0,2.0,452,1,1,1
9,2,4,4,408,1.0,2.0,453,1,1,1
9,3,5,4,406,1.0,2.0,454,2,1,2
9,3,3,4,408,1.0,1.0,456,1,1,1
9,5,1,5,513,1.0,2.0,457,4,1,4
1,3,2,5,511,1.0,1.0,458,1,1,1
9,1,0,5,511,1.0,1.0,460,1,1,1
9,6,0,4,409,,,461,4,1,4
9,3,1,4,408,1.0,2.0,462,2,1,2
9,2,6,4,406,1.0,2.0,463,2,1,2
9,5,3,3,305,1.0,2.0,464,1,1,1
9,2,3,7,705,1.0,2.0,465,2,1,2
9,6,1,6,603,1.0,2.0,466,1,1,1
9,3,4,3,305,1.0,2.0,467,2,1,2
9,6,0,5,510,,,468,4,1,4
1,6,1,6,603,1.0,2.0,469,1,1,1
9,2,1,5,511,1.0,2.0,470,2,1,2
9,3,2,6,604,1.0,1.0,471,2,1,2
5,6,2,5,511,1.0,2.0,472,1,1,1
9,6,0,5,512,1.0,2.0,473,1,1,1
5,2,4,5,513,1.0,2.0,475,1,1,1
9,3,3,5,511,1.0,2.0,476,2,1,2
9,6,0,5,511,1.0,1.0,477,3,1,3
9,6,3,5,511,1.0,2.0,478,1,1,1
5,6,0,4,408,,,479,3,1,3
9,3,2,7,705,1.0,2.0,480,2,1,2
9,6,0,5,511,1.0,1.0,481,1,1,1
9,6,1,8,806,1.0,2.0,482,1,1,1
9,2,2,3,305,1.0,2.0,484,2,1,2
9,3,2,4,409,1.0,2.0,485,2,1,2
9,3,3,6,603,1.0,2.0,486,2,1,2
9,3,2,3,305,1.0,1.0,487,1,1,1
5,2,2,7,705,1.0,2.0,488,2,1,2
5,2,1,6,602,1.0,2.0,489,1,1,1
1,6,0,5,510,1.0,2.0,490,2,1,2
5,3,4,3,305,1.0,2.0,492,1,1,1
9,2,3,3,305,1.0,2.0,493,2,1,2
9,6,1,6,606,1.0,2.0,494,1,1,1
9,6,0,4,408,,,496,3,1,3
9,6,0,5,513,1.0,2.0,498,2,1,2
5,3,2,5,511,1.0,2.0,499,1,1,1
9,2,1,5,511,1.0,1.0,500,1,1,1
5,6,10,3,304,1.0,2.0,501,1,1,1
9,2,2,5,511,1.0,2.0,502,1,1,1
5,2,0,5,510,1.0,1.0,505,4,1,4
1,6,3,6,602,1.0,2.0,506,3,1,3
1,2,4,3,303,1.0,1.0,507,1,1,1
9,2,2,4,407,1.0,1.0,508,1,1,1
9,6,0,8,803,1.0,2.0,509,3,1,3
9,6,0,5,511,1.0,2.0,510,3,1,3
9,5,2,6,602,1.0,2.0,511,1,1,1
5,5,2,5,511,1.0,2.0,512,1,1,1
9,6,0,5,511,1.0,1.0,513,3,1,3
9,2,3,6,603,1.0,1.0,514,1,1,1
9,6,1,5,511,1.0,1.0,515,2,1,2
5,5,2,3,302,1.0,2.0,516,1,1,1
9,6,1,7,705,1.0,2.0,517,2,1,2
9,2,4,4,409,1.0,2.0,518,2,1,2
5,3,2,5,512,1.0,2.0,519,1,1,1
9,5,0,5,511,1.0,1.0,520,1,1,1
9,6,0,5,511,1.0,2.0,521,2,1,2
9,2,3,5,511,1.0,2.0,522,2,1,2
9,6,1,5,512,1.0,2.0,523,1,1,1
9,6,0,5,511,,,524,9,1,9
5,6,0,5,511,,,526,4,1,4
5,2,2,4,406,1.0,2.0,527,1,1,1
5,2,3,5,513,1.0,1.0,528,1,1,1
9,6,1,6,604,1.0,1.0,529,4,1,4
1,3,2,4,407,1.0,2.0,530,1,1,1
9,2,2,3,303,1.0,2.0,531,2,1,2
9,6,0,5,511,1.0,2.0,532,1,1,1
5,6,1,8,801,1.0,2.0,533,3,1,3
5,2,2,7,710,1.0,2.0,534,2,1,2
9,6,0,4,407,1.0,2.0,535,1,1,1
5,5,1,6,603,1.0,2.0,536,6,1,6
9,6,0,8,802,1.0,2.0,537,1,1,1
9,6,0,4,406,,,538,3,1,3
9,6,1,8,801,1.0,2.0,539,1,1,1
9,5,2,7,705,1.0,2.0,540,2,1,2
9,2,1,6,602,1.0,2.0,541,4,1,4
9,1,1,5,511,1.0,2.0,542,2,1,2
5,2,1,5,512,1.0,2.0,543,2,1,2
9,6,0,3,305,1.0,1.0,544,1,1,1
5,2,2,1,100,1.0,2.0,545,2,1,2
5,2,2,7,710,1.0,2.0,546,1,1,1
9,3,2,5,511,1.0,2.0,547,2,1,2
5,2,3,5,511,1.0,2.0,548,2,1,2
9,2,5,5,511,1.0,1.0,549,1,1,1
9,6,0,5,511,1.0,2.0,550,5,1,5
9,6,1,7,705,1.0,2.0,551,2,1,2
1,6,0,8,801,1.0,2.0,552,1,1,1
5,3,2,5,512,1.0,2.0,553,2,1,2
9,3,3,4,400,1.0,2.0,554,2,1,2
9,1,1,6,601,1.0,1.0,555,3,1,3
9,3,1,8,801,1.0,1.0,556,1,1,1
9,3,1,3,305,1.0,2.0,557,2,1,2
9,6,0,5,511,1.0,1.0,558,3,1,3
5,2,0,5,511,1.0,2.0,559,2,1,2
1,6,3,3,305,1.0,1.0,560,1,1,1
9,3,3,3,305,1.0,2.0,561,2,1,2
9,5,0,5,512,1.0,2.0,562,1,1,1
9,6,0,4,408,,,563,3,1,3
9,6,0,7,704,1.0,2.0,564,3,1,3
9,2,3,5,512,1.0,2.0,565,2,1,2
9,2,4,7,703,1.0,2.0,566,2,1,2
9,1,0,4,408,1.0,2.0,567,6,1,6
9,2,1,5,511,1.0,2.0,568,2,1,2
9,3,3,3,305,1.0,1.0,569,1,1,1
9,6,0,5,510,1.0,1.0,570,5,1,5
9,2,2,5,511,1.0,2.0,571,2,1,2
9,5,4,5,511,1.0,2.0,572,1,1,1
9,3,2,6,602,1.0,2.0,573,2,1,2
9,2,3,4,408,1.0,1.0,574,1,1,1
5,5,3,6,604,1.0,1.0,575,5,1,5
9,3,7,6,602,1.0,1.0,576,4,1,4
9,5,3,8,801,1.0,2.0,577,1,1,1
9,6,0,7,701,1.0,2.0,578,1,1,1
9,6,0,3,305,,,579,2,1,2
9,6,0,4,408,,,580,3,1,3
9,5,3,6,604,1.0,2.0,581,1,1,1
9,6,0,5,511,1.0,1.0,582,2,1,2
5,5,3,5,511,1.0,2.0,583,2,1,2
5,6,0,5,511,1.0,2.0,584,3,1,3
5,6,2,4,409,1.0,2.0,585,1,1,1
9,2,1,5,511,1.0,1.0,586,1,1,1
9,3,2,8,802,1.0,2.0,587,2,1,2
5,6,0,6,601,1.0,2.0,588,2,1,2
5,1,2,5,512,1.0,2.0,589,2,1,2
9,1,0,6,602,1.0,2.0,590,1,1,1
9,6,0,4,408,,,591,3,1,3
9,3,4,5,511,1.0,2.0,592,2,1,2
9,1,1,7,710,1.0,2.0,594,1,1,1
